GTRD peaks ID,UniProt ID,Cell Line,Treatment,Antibody,TFClass,Species,PubMed,GEO,ENCODE,Peak calls participated in analysis
PEAKS010571,JUN_HUMAN,MCF-7,E2,"cJun - Cat# sc-45, Santa Cruz", 1.1.1.1.1,Homo sapiens,21179027,"GSM659791,GSE26831",,1000
PEAKS010572,ERG_HUMAN,VCaP,NT,ERG, 3.5.2.1.6,Homo sapiens,20478527,"GSM353637,GSE14092",,1000
PEAKS010573,ANDR_HUMAN,22RV1,,AR, 2.1.1.1.4,Homo sapiens,20478527,"GSM353640,GSE14092",,1000
PEAKS010575,FOXA1_HUMAN,VCaP,regular medium,FoxA1, 3.3.1.1.1,Homo sapiens,20478527,"GSM353630,GSE14092",,1000
PEAKS010577,ANDR_HUMAN,VCaP,NT,AR, 2.1.1.1.4,Homo sapiens,20478527,"GSM353636,GSE14092",,1000
PEAKS010582,E2F1_HUMAN,MCF7 cell line stably expressing HA ER E2F1 wild type,,"mouse anti-HA (Covance, catalog # MMS-101P)", 3.3.2.1.1,Homo sapiens,21310950,"GSM699984,GSM699985,GSE28286",,1000
PEAKS010583,ANDR_HUMAN,LnCaP,1nm R,AR, 2.1.1.1.4,Homo sapiens,20478527,"GSM353642,GSE14092",,1000
PEAKS010584,ANDR_HUMAN,LnCaP,10nm R,AR, 2.1.1.1.4,Homo sapiens,20478527,"GSM353641,GSE14092",,1000
PEAKS010605,GATA1_HUMAN,Pro-erythroblasts,,GATA1, 2.2.1.1.1,Homo sapiens,22036566,"GSM722392,GSM722393,GSE29194",,1000
PEAKS010606,FOXA1_HUMAN,LNCaP androgen-dependent prostate cancer cell line,DHT,ab5089, 3.3.1.1.1,Homo sapiens,,"GSM699635,GSE28264",,1000
PEAKS010608,SMAD1_HUMAN,Pro-erythroblasts,,SMAD1, 7.1.1.1.1,Homo sapiens,22036566,"GSM722397,GSE29194,GSM722398",,1000
PEAKS010610,VDR_HUMAN,LS180 cells,"1,25(OH)2D3",VDR, 2.1.2.4.1,Homo sapiens,22108803,"GSM791404,GSE31939",,1000
PEAKS010612,ESR1_HUMAN,H3396 cells,estrogen,Santa Cruz HC20, 2.1.1.2.1,Homo sapiens,21632823,"GSM801056,GSE32349",,1000
PEAKS010619,PPARG_HUMAN,THP-1,,anti-PPARg, 2.1.2.5.3,Homo sapiens,,"GSM624141,GSE25426",,1000
PEAKS010623,E2F1_HUMAN,MCF7 cell line stably expressing HA ER E2F1 5'NLS ГЋ?MB mutant,,"mouse anti-HA (Covance, catalog # MMS-101P)", 3.3.2.1.1,Homo sapiens,21310950,"GSM699989,GSE28286",,1000
PEAKS010624,JUN_HUMAN,MCF-7,,"cJun - Cat# sc-45, Santa Cruz", 1.1.1.1.1,Homo sapiens,21179027,"GSM659792,GSE26831",,1000
PEAKS010625,FOXH1_HUMAN,H9,,R&D Systems AF4248, 3.3.1.8.1,Homo sapiens,21741376,"GSM727589,GSE29422",,1000
PEAKS010631,EVX2_HUMAN,Caco-2,proliferating cells,CDX2 (Bethyl Labs BL3194), 3.1.1.10.2,Homo sapiens,21074721,"GSM575224,GSE23436",,1000
PEAKS010633,EVX2_HUMAN,Caco-2,differentiated cells,CDX2 (Bethyl Labs BL3194), 3.1.1.10.2,Homo sapiens,21074721,"GSM575225,GSE23436",,1000
PEAKS010634,HNF4A_HUMAN,Caco-2,proliferating cells,HNF4A (Santa Cruz 8987 and Santa Cruz 6547), 2.1.3.2.1,Homo sapiens,21074721,"GSM575228,GSE23436",,1000
PEAKS010635,GATA6_HUMAN,Caco-2,differentiated cells,GATA6 (Santa Cruz 7244 and Santa Cruz 9055), 2.2.1.1.6,Homo sapiens,21074721,"GSM575227,GSE23436",,1000
PEAKS010642,RARA_HUMAN,UPR9,5 hours zinc,RAR, 2.1.2.1.1,Homo sapiens,20159609,"GSM468212,GSE18886",,1000
PEAKS010643,GATA6_HUMAN,Caco-2,proliferating cells,GATA6 (Santa Cruz 7244 and Santa Cruz 9055), 2.2.1.1.6,Homo sapiens,21074721,"GSM575226,GSE23436",,1000
PEAKS010645,CTCF_HUMAN,hASC,time point 1,"Upstate, Cat# 07-729, Lot# 1350637", 2.3.3.50.1,Homo sapiens,20887899,"GSM534471,GSE21366",,1000
PEAKS010646,CTCF_HUMAN,hASC,time point 2,"Upstate, Cat# 07-729, Lot# 1350637", 2.3.3.50.1,Homo sapiens,20887899,"GSM534478,GSE21366",,1000
PEAKS010652,VDR_HUMAN,GM10855,calcitriol,sc-1008, 2.1.2.4.1,Homo sapiens,20736230,"GSE22484,GSM558632,GSM558633",,1000
PEAKS020008,ZN263_HUMAN,HEK293-T-REx,,ZNF263, 2.3.3.0.79,Homo sapiens,,GSM935577,wgEncodeEH001781,1000
PEAKS020012,GATA3_HUMAN,T-47D,DMSO_0.02pct,GATA3_(SC-268), 2.2.1.1.3,Homo sapiens,,GSM803514,wgEncodeEH001639,1000
PEAKS020013,USF1_HUMAN,HepG2,,USF-1, 1.2.6.2.1,Homo sapiens,,GSM803527,wgEncodeEH001472,1000
PEAKS020021,ATF3_HUMAN,A549,EtOH_0.02pct,ATF3, 1.1.2.2.1,Homo sapiens,,GSM1010789,wgEncodeEH002288,1000
PEAKS020022,GABPA_HUMAN,A549,EtOH_0.02pct,GABP, 3.5.2.1.4,Homo sapiens,,GSM1010833,wgEncodeEH002294,1000
PEAKS020025,TAF1_HUMAN,H1-hESC,,TAF1, 4.1.3.0.5,Homo sapiens,,GSM803450,wgEncodeEH001500,1000
PEAKS020035,MYC_HUMAN,K562,IFNa30,c-Myc, 1.2.6.5.1,Homo sapiens,,GSM935428,wgEncodeEH000659,1000
PEAKS020036,SPI1_HUMAN,GM12891,,PU.1, 3.5.2.5.1,Homo sapiens,,GSM803398,wgEncodeEH001521,1000
PEAKS020037,BCL3_HUMAN,A549,EtOH_0.02pct,BCL3, 6.1.2.1.8,Homo sapiens,,GSM1010775,wgEncodeEH002303,1000
PEAKS020038,MAFK_HUMAN,K562,,MafK_(ab50322), 1.1.3.2.3,Homo sapiens,,GSM935311,wgEncodeEH001844,1000
PEAKS020040,JUN_HUMAN,K562,IFNa6h,c-Jun, 1.1.1.1.1,Homo sapiens,,GSM935468,wgEncodeEH000667,1000
PEAKS020042,GATA3_HUMAN,SH-SY5Y,,GATA3_(SC-269), 2.2.1.1.3,Homo sapiens,,GSM935567,wgEncodeEH002031,1000
PEAKS020043,CTCF_HUMAN,SK-N-SH_RA,,CTCF, 2.3.3.50.1,Homo sapiens,,"GSM749667,GSM749693",wgEncodeEH000439,1000
PEAKS020045,MAFF_HUMAN,K562,,MafF_(M8194), 1.1.3.2.1,Homo sapiens,,GSM935520,wgEncodeEH002804,1000
PEAKS020046,CTCF_HUMAN,GM12874,,CTCF, 2.3.3.50.1,Homo sapiens,,"GSM749757,GSM749741",wgEncodeEH000451,1000
PEAKS020049,GABPA_HUMAN,K562,,GABP, 3.5.2.1.4,Homo sapiens,,GSM803524,wgEncodeEH001604,1000
PEAKS020056,CEBPB_HUMAN,K562,,CEBPB, 1.1.8.1.2,Homo sapiens,,GSM935499,wgEncodeEH001821,1000
PEAKS020057,MXI1_HUMAN,K562,,Mxi1_(AF4185), 1.2.6.7.5,Homo sapiens,,GSM935497,wgEncodeEH001827,1000
PEAKS020063,ELF1_HUMAN,HepG2,,ELF1_(SC-631), 3.5.2.3.1,Homo sapiens,,GSM803415,wgEncodeEH001641,1000
PEAKS020067,NRF1_HUMAN,H1-hESC,,Nrf1, 0.0.6.0.1,Homo sapiens,,GSM935308,wgEncodeEH001847,1000
PEAKS020068,FOXA1_HUMAN,HepG2,,FOXA1_(SC-6553), 3.3.1.1.1,Homo sapiens,,GSM803461,wgEncodeEH001594,1000
PEAKS020069,STAT3_HUMAN,MCF10A-Er-Src,4OHTAM_1uM_36hr,STAT3, 6.2.1.0.3,Homo sapiens,,GSM935457,wgEncodeEH001769,1000
PEAKS020070,IRF1_HUMAN,K562,IFNg30,IRF1, 3.5.3.0.1,Homo sapiens,,GSM935505,wgEncodeEH002799,1000
PEAKS020071,TYY1_HUMAN,NT2-D1,,YY1, 2.3.3.9.1,Homo sapiens,,GSM935424,wgEncodeEH000653,1000
PEAKS020081,TAL1_HUMAN,K562,,TAL1_(SC-12984), 1.2.3.1.1,Homo sapiens,,GSM935496,wgEncodeEH001824,1000
PEAKS020083,MYC_HUMAN,K562,IFNg30,c-Myc, 1.2.6.5.1,Homo sapiens,,GSM935548,wgEncodeEH001867,1000
PEAKS020084,CTCF_HUMAN,RPTEC,,CTCF, 2.3.3.50.1,Homo sapiens,,"GSM1022666,GSM1022667",wgEncodeEH002059,1000
PEAKS020086,GATA3_HUMAN,MCF-7,,GATA3_(SC-268), 2.2.1.1.3,Homo sapiens,,GSM825711,wgEncodeEH002035,1000
PEAKS020087,MYC_HUMAN,K562,,c-Myc, 1.2.6.5.1,Homo sapiens,,GSM935516,wgEncodeEH002800,1000
PEAKS020088,HTF4_HUMAN,A549,EtOH_0.02pct,TCF12, 1.2.1.0.3,Homo sapiens,,GSM1010746,wgEncodeEH002312,1000
PEAKS020089,CTCF_HUMAN,ECC-1,DMSO_0.02pct,CTCF_(SC-5916), 2.3.3.50.1,Homo sapiens,,GSM1010774,wgEncodeEH002300,1000
PEAKS020092,ELK4_HUMAN,HeLa-S3,,ELK4, 3.5.2.2.3,Homo sapiens,,GSM935351,wgEncodeEH001753,1000
PEAKS020095,SP4_HUMAN,H1-hESC,,SP4_(V-20), 2.3.1.1.4,Homo sapiens,,GSM1010743,wgEncodeEH002317,1000
PEAKS020096,TF7L2_HUMAN,MCF-7,,TCF7L2, 4.1.3.0.3,Homo sapiens,,GSM816438,wgEncodeEH002072,1000
PEAKS020097,PO2F2_HUMAN,GM12878,,POU2F2, 3.1.10.2.2,Homo sapiens,,GSM803534,wgEncodeEH001475,1000
PEAKS020098,BC11A_HUMAN,GM12878,,BCL11A, 2.3.4.15.1,Homo sapiens,,GSM803388,wgEncodeEH001486,1000
PEAKS020100,STAT2_HUMAN,K562,IFNa6h,STAT2, 6.2.1.0.2,Homo sapiens,,GSM935469,wgEncodeEH000666,1000
PEAKS020102,MYC_HUMAN,K562,IFNa6h,c-Myc, 1.2.6.5.1,Homo sapiens,,GSM935466,wgEncodeEH000669,1000
PEAKS020104,BC11A_HUMAN,GM12878,,BCL11A, 2.3.4.15.1,Homo sapiens,,GSM803388,wgEncodeEH001486,1000
PEAKS020105,NR2C2_HUMAN,HepG2,,TR4, 2.1.3.4.2,Homo sapiens,,GSM935596,wgEncodeEH000675,1000
PEAKS020107,CTCF_HUMAN,NHLF,,CTCF, 2.3.3.50.1,Homo sapiens,,GSM733695,wgEncodeEH000120,1000
PEAKS020109,USF1_HUMAN,H1-hESC,,USF-1, 1.2.6.2.1,Homo sapiens,,GSM803426,wgEncodeEH001532,1000
PEAKS020110,USF2_HUMAN,HepG2,,USF2, 1.2.6.2.2,Homo sapiens,,GSM935646,wgEncodeEH001804,1000
PEAKS020111,UBF1_HUMAN,K562,,UBF_(sc-13125), 4.1.6.1.1,Homo sapiens,,GSM935338,wgEncodeEH002863,1000
PEAKS020112,HNF4A_HUMAN,HepG2,,HNF4A_(SC-8987), 2.1.3.2.1,Homo sapiens,,GSM803460,wgEncodeEH001595,1000
PEAKS020114,CTCF_HUMAN,HepG2,,CTCF_(SC-5916), 2.3.3.50.1,Homo sapiens,,GSM803486,wgEncodeEH001516,1000
PEAKS020115,STAT3_HUMAN,HeLa-S3,,STAT3, 6.2.1.0.3,Homo sapiens,,GSM935276,wgEncodeEH001799,1000
PEAKS020116,CTCF_HUMAN,WERI-Rb-1,,CTCF, 2.3.3.50.1,Homo sapiens,,"GSM749679,GSM749768",wgEncodeEH000402,1000
PEAKS020118,NFE2_HUMAN,GM12878,,NF-E2_(SC-22827), 1.1.1.2.1,Homo sapiens,,GSM935652,wgEncodeEH001808,1000
PEAKS020119,ATF3_HUMAN,K562,,ATF3, 1.1.2.2.1,Homo sapiens,,GSM935391,wgEncodeEH000700,1000
PEAKS020138,CEBPB_HUMAN,IMR90,,CEBPB, 1.1.8.1.2,Homo sapiens,,GSM935519,wgEncodeEH002807,1000
PEAKS020139,THAP1_HUMAN,K562,,THAP1_(SC-98174), 2.9.1.0.1,Homo sapiens,,GSM803408,wgEncodeEH001655,1000
PEAKS020140,MAX_HUMAN,H1-hESC,,Max, 1.2.6.5.5,Homo sapiens,,GSM935348,wgEncodeEH001757,1000
PEAKS020155,FOXA1_HUMAN,T-47D,DMSO_0.02pct,FOXA1_(SC-6553), 3.3.1.1.1,Homo sapiens,,GSM803409,wgEncodeEH001588,1000
PEAKS020156,EGR1_HUMAN,GM12878,,Egr-1, 2.3.1.3.1,Homo sapiens,,GSM1010730,wgEncodeEH002328,1000
PEAKS020160,RXRA_HUMAN,H1-hESC,,RXRA, 2.1.3.1.1,Homo sapiens,,GSM803506,wgEncodeEH001560,1000
PEAKS020161,KAISO_HUMAN,A549,EtOH_0.02pct,ZBTB33, 2.3.2.1.12,Homo sapiens,,GSM1010832,wgEncodeEH002295,1000
PEAKS020162,SRF_HUMAN,HepG2,,SRF, 5.1.2.0.1,Homo sapiens,,GSM803502,wgEncodeEH001611,1000
PEAKS020164,PO2F2_HUMAN,GM12891,,POU2F2, 3.1.10.2.2,Homo sapiens,,GSM803397,wgEncodeEH001520,1000
PEAKS020166,MAZ_HUMAN,K562,,MAZ_(ab85725), 2.3.4.8.1,Homo sapiens,,GSM935337,wgEncodeEH002862,1000
PEAKS020169,BATF_HUMAN,GM12878,,BATF, 1.1.4.0.1,Homo sapiens,,GSM803538,wgEncodeEH001479,1000
PEAKS020174,CTCF_HUMAN,HEEpiC,,CTCF, 2.3.3.50.1,Homo sapiens,,"GSM749726,GSM749712",wgEncodeEH000984,1000
PEAKS020175,RFX5_HUMAN,H1-hESC,,RFX5_(200-401-194), 3.3.3.0.5,Homo sapiens,,GSM935382,wgEncodeEH001835,1000
PEAKS020177,MAFK_HUMAN,IMR90,,MafK_(ab50322), 1.1.3.2.3,Homo sapiens,,GSM935403,wgEncodeEH002832,1000
PEAKS020178,E2F6_HUMAN,K562,,E2F6, 3.3.2.1.6,Homo sapiens,,GSM935597,wgEncodeEH000676,1000
PEAKS020180,NRF1_HUMAN,HepG2,,Nrf1, 0.0.6.0.1,Homo sapiens,,GSM935648,wgEncodeEH001802,1000
PEAKS020183,JUND_HUMAN,GM12878,,JunD, 1.1.1.1.3,Homo sapiens,,GSM935541,wgEncodeEH000639,1000
PEAKS020187,ATF3_HUMAN,HepG2,,ATF3, 1.1.2.2.1,Homo sapiens,,GSM803503,wgEncodeEH001568,1000
PEAKS020188,STA5A_HUMAN,K562,,STAT5A_(SC-74442), 6.2.1.0.5,Homo sapiens,,GSM1010877,wgEncodeEH002347,1000
PEAKS020189,STAT3_HUMAN,MCF10A-Er-Src,EtOH_0.01pct,STAT3, 6.2.1.0.3,Homo sapiens,,GSM935591,wgEncodeEH001772,1000
PEAKS020191,SIX5_HUMAN,K562,,SIX5, 3.1.6.3.2,Homo sapiens,,GSM803378,wgEncodeEH001664,1000
PEAKS020192,MAX_HUMAN,NB4,,Max, 1.2.6.5.5,Homo sapiens,,GSM935644,wgEncodeEH001806,1000
PEAKS020193,CTCF_HUMAN,IMR90,,CTCF_(SC-15914), 2.3.3.50.1,Homo sapiens,,GSM935404,wgEncodeEH002831,1000
PEAKS020194,USF2_HUMAN,GM12878,,USF2, 1.2.6.2.2,Homo sapiens,,GSM935558,wgEncodeEH001812,1000
PEAKS020195,CTCF_HUMAN,SAEC,,CTCF, 2.3.3.50.1,Homo sapiens,,"GSM749779,GSM749684",wgEncodeEH000437,1000
PEAKS020196,GATA2_HUMAN,K562,,GATA2_(SC-267), 2.2.1.1.2,Homo sapiens,,GSM803540,wgEncodeEH001576,1000
PEAKS020198,BHE40_HUMAN,HepG2,,BHLHE40, 1.2.4.1.12,Homo sapiens,,GSM803483,wgEncodeEH001515,1000
PEAKS020199,EGR1_HUMAN,GM12878,,Egr-1, 2.3.1.3.1,Homo sapiens,,GSM803434,wgEncodeEH001632,1000
PEAKS020200,MAZ_HUMAN,HepG2,,MAZ_(ab85725), 2.3.4.8.1,Homo sapiens,,GSM935335,wgEncodeEH002860,1000
PEAKS020201,TAF1_HUMAN,HepG2,,TAF1, 4.1.3.0.5,Homo sapiens,,GSM803367,wgEncodeEH001551,1000
PEAKS020202,REST_HUMAN,PFSK-1,,NRSF, 2.3.4.0.27,Homo sapiens,,GSM803369,wgEncodeEH001553,1000
PEAKS020203,CTCF_HUMAN,HCFaa,,CTCF, 2.3.3.50.1,Homo sapiens,,GSM749732,wgEncodeEH000982,1000
PEAKS020204,FOXA1_HUMAN,HepG2,,FOXA1_(SC-6553), 3.3.1.1.1,Homo sapiens,,GSM803461,wgEncodeEH001594,1000
PEAKS020205,TAF1_HUMAN,HepG2,,TAF1, 4.1.3.0.5,Homo sapiens,,GSM803367,wgEncodeEH001551,1000
PEAKS020206,CTCF_HUMAN,BE2_C,,CTCF, 2.3.3.50.1,Homo sapiens,,"GSM1022653,GSM1022650",wgEncodeEH001891,1000
PEAKS020207,PRDM1_HUMAN,HeLa-S3,,PRDM1_(9115), 2.3.3.12.1,Homo sapiens,,GSM935555,wgEncodeEH001817,1000
PEAKS020211,GCR_HUMAN,HepG2,forskolin,GRp20, 2.1.1.1.1,Homo sapiens,,GSM935620,wgEncodeEH000752,1000
PEAKS020212,ARI3A_HUMAN,HepG2,,ARID3A_(NB100-279), 3.7.1.3.1,Homo sapiens,,GSM935275,wgEncodeEH002858,1000
PEAKS020213,TYY1_HUMAN,GM12878,,YY1_(SC-281), 2.3.3.9.1,Homo sapiens,,GSM803406,wgEncodeEH001657,1000
PEAKS020214,CTCF_HUMAN,AG04450,,CTCF, 2.3.3.50.1,Homo sapiens,,"GSM1022635,GSM749769",wgEncodeEH000976,1000
PEAKS020217,FOSL2_HUMAN,HepG2,,FOSL2, 1.1.2.1.4,Homo sapiens,,GSM803451,wgEncodeEH001501,1000
PEAKS020218,TBP_HUMAN,GM12878,,TBP, 8.1.1.0.1,Homo sapiens,,GSM935277,wgEncodeEH001798,1000
PEAKS020220,JUNB_HUMAN,K562,,eGFP-JunB, 1.1.1.1.2,Homo sapiens,,GSM777638,wgEncodeEH001210,1000
PEAKS020225,CEBPB_HUMAN,A549,,CEBPB, 1.1.8.1.2,Homo sapiens,,GSM935630,wgEncodeEH002818,1000
PEAKS020229,E2F4_HUMAN,MCF10A-Er-Src,4OHTAM_1uM_36hr,E2F4, 3.3.2.1.4,Homo sapiens,,GSM935400,wgEncodeEH002835,1000
PEAKS020231,RCOR1_HUMAN,K562,,COREST_(ab24166), 3.5.1.2.3,Homo sapiens,,GSM935385,wgEncodeEH002847,1000
PEAKS020232,IRF3_HUMAN,HeLa-S3,,IRF3, 3.5.3.0.3,Homo sapiens,,GSM935570,wgEncodeEH001788,1000
PEAKS020234,E2F1_HUMAN,HeLa-S3,,HA-E2F1, 3.3.2.1.1,Homo sapiens,,GSM935366,wgEncodeEH000688,1000
PEAKS020235,KAISO_HUMAN,HCT-116,,ZBTB33, 2.3.2.1.12,Homo sapiens,,GSM803458,wgEncodeEH001672,1000
PEAKS020240,MYC_HUMAN,HUVEC,,c-Myc, 1.2.6.5.1,Homo sapiens,,GSM822298,wgEncodeEH000561,1000
PEAKS020247,JUND_HUMAN,H1-hESC,,JunD, 1.1.1.1.3,Homo sapiens,,GSM935434,wgEncodeEH002023,1000
PEAKS020251,PAX5_HUMAN,GM12892,,PAX5-C20, 3.2.2.2.2,Homo sapiens,,GSM803334,wgEncodeEH001546,1000
PEAKS020252,CTCF_HUMAN,Gliobla,,CTCF, 2.3.3.50.1,Homo sapiens,,GSM822303,wgEncodeEH001135,1000
PEAKS020253,CTCFL_HUMAN,K562,,CTCFL_(SC-98982), 2.3.3.50.2,Homo sapiens,,GSM803401,wgEncodeEH001652,1000
PEAKS020256,TYY1_HUMAN,HepG2,,YY1_(SC-281), 2.3.3.9.1,Homo sapiens,,GSM803381,wgEncodeEH001661,1000
PEAKS020257,SPI1_HUMAN,GM12878,,PU.1, 3.5.2.5.1,Homo sapiens,,GSM803531,wgEncodeEH001476,1000
PEAKS020258,SIX5_HUMAN,K562,,SIX5, 3.1.6.3.2,Homo sapiens,,GSM803383,wgEncodeEH001483,1000
PEAKS020266,REST_HUMAN,GM12878,,NRSF, 2.3.4.0.27,Homo sapiens,,GSM1010744,wgEncodeEH002314,1000
PEAKS020269,CTCF_HUMAN,HFF-Myc,,CTCF, 2.3.3.50.1,Homo sapiens,,"GSM1022671,GSM1022669",wgEncodeEH001895,1000
PEAKS020273,TYY1_HUMAN,H1-hESC,,YY1_(SC-281), 2.3.3.9.1,Homo sapiens,,GSM803513,wgEncodeEH001567,1000
PEAKS020274,ELK1_HUMAN,GM12878,,ELK1_(1277-1), 3.5.2.2.1,Homo sapiens,,GSM935345,wgEncodeEH002851,1000
PEAKS020275,ETS1_HUMAN,A549,EtOH_0.02pct,ETS1, 3.5.2.1.1,Homo sapiens,,GSM1010829,wgEncodeEH002290,1000
PEAKS020276,CTCF_HUMAN,K562,,CTCF_(SC-15914), 2.3.3.50.1,Homo sapiens,,GSM935407,wgEncodeEH002797,1000
PEAKS020282,PAX5_HUMAN,GM12878,,PAX5-C20, 3.2.2.2.2,Homo sapiens,,GSM803391,wgEncodeEH001489,1000
PEAKS020295,CTCF_HUMAN,MCF-7,,CTCF, 2.3.3.50.1,Homo sapiens,,"GSM1022658,GSM1022663",wgEncodeEH002057,1000
PEAKS020296,REST_HUMAN,U87,,NRSF, 2.3.4.0.27,Homo sapiens,,GSM803372,wgEncodeEH001554,1000
PEAKS020297,CTCF_HUMAN,GM12878,,CTCF_(SC-15914), 2.3.3.50.1,Homo sapiens,,GSM935611,wgEncodeEH001851,1000
PEAKS020298,TYY1_HUMAN,GM12891,,YY1_(SC-281), 2.3.3.9.1,Homo sapiens,,GSM803535,wgEncodeEH001573,1000
PEAKS020299,PO5F1_HUMAN,H1-hESC,,POU5F1_(SC-9081), 3.1.10.5.1,Homo sapiens,,GSM803438,wgEncodeEH001636,1000
PEAKS020300,ETS1_HUMAN,K562,,ETS1, 3.5.2.1.1,Homo sapiens,,GSM803442,wgEncodeEH001580,1000
PEAKS020302,CTCF_HUMAN,K562,,CTCF_(SC-5916), 2.3.3.50.1,Homo sapiens,,GSM1010820,wgEncodeEH002279,1000
PEAKS020305,CTCF_HUMAN,AG04449,,CTCF, 2.3.3.50.1,Homo sapiens,,"GSM749678,GSM749695",wgEncodeEH000975,1000
PEAKS020307,EGR1_HUMAN,H1-hESC,,Egr-1, 2.3.1.3.1,Homo sapiens,,GSM803430,wgEncodeEH001538,1000
PEAKS020308,FOS_HUMAN,MCF10A-Er-Src,EtOH_0.01pct,c-Fos, 1.1.2.1.1,Homo sapiens,,GSM935438,wgEncodeEH002815,1000
PEAKS020314,REST_HUMAN,H1-hESC,,NRSF, 2.3.4.0.27,Homo sapiens,,GSM803365,wgEncodeEH001498,1000
PEAKS020315,E2F6_HUMAN,K562,,E2F6, 3.3.2.1.6,Homo sapiens,,GSM803469,wgEncodeEH001598,1000
PEAKS020316,IRF1_HUMAN,K562,IFNa30,IRF1, 3.5.3.0.1,Homo sapiens,,GSM935546,wgEncodeEH001865,1000
PEAKS020317,E2F6_HUMAN,K562,,E2F6, 3.3.2.1.6,Homo sapiens,,GSM803469,wgEncodeEH001598,1000
PEAKS020319,TAF1_HUMAN,PFSK-1,,TAF1, 4.1.3.0.5,Homo sapiens,,GSM1010770,wgEncodeEH002309,1000
PEAKS020320,TAF1_HUMAN,K562,,TAF1, 4.1.3.0.5,Homo sapiens,,GSM803431,wgEncodeEH001582,1000
PEAKS020322,CTCF_HUMAN,BJ,,CTCF, 2.3.3.50.1,Homo sapiens,,"GSM749752,GSM749677",wgEncodeEH000403,1000
PEAKS020325,GABPA_HUMAN,HepG2,,GABP, 3.5.2.1.4,Homo sapiens,,GSM803343,wgEncodeEH001548,1000
PEAKS020327,GABPA_HUMAN,HepG2,,GABP, 3.5.2.1.4,Homo sapiens,,GSM803343,wgEncodeEH001548,1000
PEAKS020330,TYY1_HUMAN,A549,EtOH_0.02pct,YY1_(SC-281), 2.3.3.9.1,Homo sapiens,,GSM1010794,wgEncodeEH002282,1000
PEAKS020332,MYC_HUMAN,HeLa-S3,,c-Myc, 1.2.6.5.1,Homo sapiens,,GSM935320,wgEncodeEH000648,1000
PEAKS020333,NFE2_HUMAN,K562,,NF-E2, 1.1.1.2.1,Homo sapiens,,GSM935414,wgEncodeEH000624,1000
PEAKS020334,KAISO_HUMAN,HepG2,,ZBTB33, 2.3.2.1.12,Homo sapiens,,GSM803449,wgEncodeEH001503,1000
PEAKS020335,CTCF_HUMAN,Osteobl,,CTCF, 2.3.3.50.1,Homo sapiens,,GSM733784,wgEncodeEH001041,1000
PEAKS020337,USF1_HUMAN,GM12878,,USF-1, 1.2.6.2.1,Homo sapiens,,GSM803347,wgEncodeEH001468,1000
PEAKS020340,JUN_HUMAN,K562,IFNg30,c-Jun, 1.1.1.1.1,Homo sapiens,,GSM935602,wgEncodeEH000673,1000
PEAKS020347,IRF1_HUMAN,K562,IFNa6h,IRF1, 3.5.3.0.1,Homo sapiens,,GSM935504,wgEncodeEH002798,1000
PEAKS020350,ZN274_HUMAN,HepG2,,ZNF274, 2.3.3.0.6,Homo sapiens,,GSM935350,wgEncodeEH001755,1000
PEAKS020351,TAF1_HUMAN,A549,EtOH_0.02pct,TAF1, 4.1.3.0.5,Homo sapiens,,GSM1010812,wgEncodeEH002275,1000
PEAKS020353,NFYA_HUMAN,GM12878,,NF-YA, 4.2.1.0.1,Homo sapiens,,GSM935506,wgEncodeEH002064,1000
PEAKS020357,HNF4A_HUMAN,HepG2,,HNF4A_(SC-8987), 2.1.3.2.1,Homo sapiens,,GSM803460,wgEncodeEH001595,1000
PEAKS020361,ELK1_HUMAN,HeLa-S3,,ELK1_(1277-1), 3.5.2.2.1,Homo sapiens,,GSM935326,wgEncodeEH002864,1000
PEAKS020362,SRF_HUMAN,GM12878,,SRF, 5.1.2.0.1,Homo sapiens,,GSM803350,wgEncodeEH001464,1000
PEAKS020363,SRF_HUMAN,GM12878,,SRF, 5.1.2.0.1,Homo sapiens,,GSM803350,wgEncodeEH001464,1000
PEAKS020364,JUN_HUMAN,K562,IFNg6h,c-Jun, 1.1.1.1.1,Homo sapiens,,GSM935467,wgEncodeEH000668,1000
PEAKS020365,KDM5B_HUMAN,K562,,PLU1, 3.7.1.6.2,Homo sapiens,,GSM1003586,wgEncodeEH002085,1000
PEAKS020366,CTCF_HUMAN,Dnd41,,CTCF, 2.3.3.50.1,Homo sapiens,,GSM1003464,wgEncodeEH002402,1000
PEAKS020369,MAX_HUMAN,K562,,Max, 1.2.6.5.5,Homo sapiens,,GSM803523,wgEncodeEH001605,1000
PEAKS020370,MAX_HUMAN,K562,,Max, 1.2.6.5.5,Homo sapiens,,GSM803523,wgEncodeEH001605,1000
PEAKS020371,TF7L2_HUMAN,HeLa-S3,,TCF7L2_C9B9_(2565), 4.1.3.0.3,Homo sapiens,,GSM935625,wgEncodeEH002813,1000
PEAKS020372,TBP_HUMAN,K562,,TBP, 8.1.1.0.1,Homo sapiens,,GSM935495,wgEncodeEH001825,1000
PEAKS020373,GATA1_HUMAN,PBDE,,GATA-1, 2.2.1.1.1,Homo sapiens,,GSM935465,wgEncodeEH001765,1000
PEAKS020374,CTCF_HUMAN,NHDF-Ad,,CTCF, 2.3.3.50.1,Homo sapiens,,GSM733744,wgEncodeEH001048,1000
PEAKS020377,REST_HUMAN,HeLa-S3,,NRSF, 2.3.4.0.27,Homo sapiens,,GSM803478,wgEncodeEH001629,1000
